time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost
2007-05-01 10:30:00-04:00,buy,fill,4.2263601828707325,SPY,stock,,0.0,,148.4199981689453,market,1,0.0
2007-06-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2007-06-01 10:30:00-04:00,buy,fill,3.9896031032916808,SPY,stock,,0.0,,153.8800048828125,market,1,0.0
2007-07-02 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2007-07-02 10:30:00-04:00,buy,fill,4.216770855914785,SPY,stock,,0.0,,150.8699951171875,market,1,0.0
2007-08-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2007-08-01 10:30:00-04:00,buy,fill,4.4399324916136225,SPY,stock,,0.0,,145.17999267578125,market,1,0.0
2007-10-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2007-10-01 10:30:00-04:00,buy,fill,4.631286278653529,SPY,stock,,0.0,,152.60000610351562,market,1,0.0
2007-11-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2007-11-01 10:30:00-04:00,buy,fill,4.927821913809298,SPY,stock,,0.0,,153.2899932861328,market,1,0.0
2007-12-03 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2007-12-03 09:30:00-05:00,buy,fill,5.531739505311268,SPY,stock,,0.0,,148.19000244140625,market,1,0.0
2008-02-01 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2008-02-01 09:30:00-05:00,buy,fill,6.008589034466821,SPY,stock,,0.0,,137.94000244140625,market,1,0.0
2008-03-03 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2008-03-03 09:30:00-05:00,buy,fill,6.484256411043126,SPY,stock,,0.0,,133.13999938964844,market,1,0.0
2008-04-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2008-04-01 10:30:00-04:00,buy,fill,6.620816554242565,SPY,stock,,0.0,,133.61000061035156,market,1,0.0
2008-05-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2008-05-01 10:30:00-04:00,buy,fill,6.768594228779913,SPY,stock,,0.0,,138.3800048828125,market,1,0.0
2008-06-02 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2008-06-02 10:30:00-04:00,buy,fill,7.14389515513108,SPY,stock,,0.0,,139.8300018310547,market,1,0.0
2008-07-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2008-07-01 10:30:00-04:00,buy,fill,7.577818213637937,SPY,stock,,0.0,,126.5199966430664,market,1,0.0
2008-08-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2008-08-01 10:30:00-04:00,buy,fill,8.138103188776586,SPY,stock,,0.0,,127.12000274658203,market,1,0.0
2008-10-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2008-10-01 10:30:00-04:00,buy,fill,8.466281517205442,SPY,stock,,0.0,,115.2699966430664,market,1,0.0
2008-11-03 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2008-11-03 09:30:00-05:00,buy,fill,12.812257039774215,SPY,stock,,0.0,,96.77999877929688,market,1,0.0
2008-12-01 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2008-12-01 09:30:00-05:00,buy,fill,22.140582849771395,SPY,stock,,0.0,,87.51000213623047,market,1,0.0
2009-02-02 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2009-02-02 09:30:00-05:00,buy,fill,29.74669323812222,SPY,stock,,0.0,,81.56999969482422,market,1,0.0
2009-03-02 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2009-03-02 09:30:00-05:00,buy,fill,44.3290396869107,SPY,stock,,0.0,,72.5199966430664,market,1,0.0
2009-04-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2009-04-01 10:30:00-04:00,buy,fill,37.60108107242485,SPY,stock,,0.0,,78.52999877929688,market,1,0.0
2009-05-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2009-05-01 10:30:00-04:00,buy,fill,33.115576739747745,SPY,stock,,0.0,,87.44000244140625,market,1,0.0
2009-06-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2009-06-01 10:30:00-04:00,buy,fill,30.003450104525268,SPY,stock,,0.0,,93.66999816894531,market,1,0.0
2009-07-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2009-07-01 10:30:00-04:00,buy,fill,26.254335659522173,SPY,stock,,0.0,,92.33999633789062,market,1,0.0
2009-08-03 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2009-08-03 10:30:00-04:00,buy,fill,20.775703440898653,SPY,stock,,0.0,,99.8499984741211,market,1,0.0
2009-09-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2009-09-01 10:30:00-04:00,buy,fill,19.22205690897152,SPY,stock,,0.0,,101.94999694824219,market,1,0.0
2009-10-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2009-10-01 10:30:00-04:00,buy,fill,9.767691227499078,SPY,stock,,0.0,,103.0,market,1,0.0
2009-11-02 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2009-11-02 09:30:00-05:00,buy,fill,5.1088543158772755,SPY,stock,,0.0,,104.12999725341797,market,1,0.0
2009-12-01 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2009-12-01 09:30:00-05:00,buy,fill,4.788461252168808,SPY,stock,,0.0,,110.91999816894531,market,1,0.0
2010-02-01 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2010-02-01 09:30:00-05:00,buy,fill,4.860644280490904,SPY,stock,,0.0,,108.1500015258789,market,1,0.0
2010-03-01 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2010-03-01 09:30:00-05:00,buy,fill,4.7377042780740934,SPY,stock,,0.0,,111.19999694824219,market,1,0.0
2010-04-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2010-04-01 10:30:00-04:00,buy,fill,4.48156094211867,SPY,stock,,0.0,,117.80000305175781,market,1,0.0
2010-05-03 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2010-05-03 10:30:00-04:00,buy,fill,4.386605411754213,SPY,stock,,0.0,,119.37999725341797,market,1,0.0
2010-06-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2010-06-01 10:30:00-04:00,buy,fill,4.909586348284457,SPY,stock,,0.0,,108.3499984741211,market,1,0.0
2010-07-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2010-07-01 10:30:00-04:00,buy,fill,5.113158154976612,SPY,stock,,0.0,,103.1500015258789,market,1,0.0
2010-08-02 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2010-08-02 10:30:00-04:00,buy,fill,4.659701573189651,SPY,stock,,0.0,,111.98999786376953,market,1,0.0
2010-09-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2010-09-01 10:30:00-04:00,buy,fill,4.844439840853321,SPY,stock,,0.0,,106.7300033569336,market,1,0.0
2010-10-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2010-10-01 10:30:00-04:00,buy,fill,4.560073317707136,SPY,stock,,0.0,,114.98999786376953,market,1,0.0
2010-11-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2010-11-01 10:30:00-04:00,buy,fill,4.409262977725942,SPY,stock,,0.0,,119.06999969482422,market,1,0.0
2010-12-01 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2010-12-01 09:30:00-05:00,buy,fill,4.318900478162569,SPY,stock,,0.0,,120.19999694824219,market,1,0.0
2011-01-03 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2011-01-03 09:30:00-05:00,buy,fill,4.092057558296179,SPY,stock,,0.0,,126.70999908447266,market,1,0.0
2011-02-01 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2011-02-01 09:30:00-05:00,buy,fill,3.976563903168339,SPY,stock,,0.0,,129.4600067138672,market,1,0.0
2011-03-01 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2011-03-01 09:30:00-05:00,buy,fill,3.9707943398791468,SPY,stock,,0.0,,133.57000732421875,market,1,0.0
2011-04-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2011-04-01 10:30:00-04:00,buy,fill,3.8876989145189413,SPY,stock,,0.0,,133.41000366210938,market,1,0.0
2011-05-02 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2011-05-02 10:30:00-04:00,buy,fill,3.847524076658189,SPY,stock,,0.0,,137.07000732421875,market,1,0.0
2011-06-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2011-06-01 10:30:00-04:00,buy,fill,3.925434357044358,SPY,stock,,0.0,,134.50999450683594,market,1,0.0
2011-07-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2011-07-01 10:30:00-04:00,buy,fill,3.8462768684324584,SPY,stock,,0.0,,132.08999633789062,market,1,0.0
2011-08-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2011-08-01 10:30:00-04:00,buy,fill,3.999794627244252,SPY,stock,,0.0,,130.83999633789062,market,1,0.0
2011-09-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2011-09-01 10:30:00-04:00,buy,fill,4.25908329399501,SPY,stock,,0.0,,122.29000091552734,market,1,0.0
2011-10-03 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2011-10-03 10:30:00-04:00,buy,fill,5.3361555656649635,SPY,stock,,0.0,,112.48999786376953,market,1,0.0
2011-11-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2011-11-01 10:30:00-04:00,buy,fill,4.570698284231541,SPY,stock,,0.0,,122.02999877929688,market,1,0.0
2011-12-01 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2011-12-01 09:30:00-05:00,buy,fill,4.460178209913453,SPY,stock,,0.0,,124.8499984741211,market,1,0.0
2012-02-01 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2012-02-01 09:30:00-05:00,buy,fill,4.404813288295527,SPY,stock,,0.0,,132.2899932861328,market,1,0.0
2012-03-01 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2012-03-01 09:30:00-05:00,buy,fill,4.275665272059967,SPY,stock,,0.0,,137.30999755859375,market,1,0.0
2012-04-02 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2012-04-02 10:30:00-04:00,buy,fill,4.042211923865744,SPY,stock,,0.0,,140.63999938964844,market,1,0.0
2012-05-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2012-05-01 10:30:00-04:00,buy,fill,4.104021485725741,SPY,stock,,0.0,,139.7899932861328,market,1,0.0
2012-06-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2012-06-01 10:30:00-04:00,buy,fill,4.893902545682623,SPY,stock,,0.0,,129.41000366210938,market,1,0.0
2012-07-02 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2012-07-02 10:30:00-04:00,buy,fill,4.452828772008008,SPY,stock,,0.0,,136.47999572753906,market,1,0.0
2012-08-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2012-08-01 10:30:00-04:00,buy,fill,4.768095262887925,SPY,stock,,0.0,,138.6999969482422,market,1,0.0
2012-10-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2012-10-01 10:30:00-04:00,buy,fill,3.9772706136991154,SPY,stock,,0.0,,144.52000427246094,market,1,0.0
2012-11-01 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2012-11-01 10:30:00-04:00,buy,fill,4.273552334131201,SPY,stock,,0.0,,141.64999389648438,market,1,0.0
