datetime,portfolio_value,cash,positions,return
2015-01-02 08:30:00-05:00,100000.0,100000.0,[],
2015-01-02 09:30:00-05:00,100000.0,100000.0,[],0.0
2015-01-02 09:30:00-05:00,100000.0,100000.0,[],0.0
2015-02-02 09:30:00-05:00,99985.74404261648,99535.20636597829,"[{'asset': SPY, 'quantity': 2.252125317496921}]",-0.00014255957383513262
2015-03-05 09:30:00-05:00,100034.14895125823,99069.62205675698,"[{'asset': SPY, 'quantity': 4.579464993172134}]",0.000484118102087816
2015-04-05 10:30:00-04:00,100000.2141932492,98604.68123802476,"[{'asset': SPY, 'quantity': 6.786951601808396}]",-0.00033923173601024814
2015-05-06 10:30:00-04:00,100026.95479913002,98604.68123802476,"[{'asset': SPY, 'quantity': 6.786951601808396}]",0.00026740548604387016
2015-06-06 10:30:00-04:00,100030.46883697585,98138.74219691278,"[{'asset': SPY, 'quantity': 9.010367552086366}]",3.513090899232019e-05
2015-07-07 10:30:00-04:00,100003.52792598699,98138.74219691278,"[{'asset': SPY, 'quantity': 9.010367552086366}]",-0.0002693270490691235
2015-08-07 10:30:00-04:00,100017.16160262545,97652.16710564076,"[{'asset': SPY, 'quantity': 11.361426092322727}]",0.00013633195669404685
2015-09-07 10:30:00-04:00,99808.47585113891,97179.79819826085,"[{'asset': SPY, 'quantity': 13.630684831127667}]",-0.0020864994381230018
2015-10-08 10:30:00-04:00,99891.62290381614,97179.79819826085,"[{'asset': SPY, 'quantity': 13.630684831127667}]",0.0008330660494328956
2015-11-08 09:30:00-05:00,100065.52427461768,96685.1678721802,"[{'asset': SPY, 'quantity': 16.116889071730508}]",0.0017409004453654564
2015-12-09 09:30:00-05:00,100008.3092692282,96685.1678721802,"[{'asset': SPY, 'quantity': 16.116889071730508}]",-0.0005717754022100952
2016-01-11 15:59:00-05:00,99764.08950057304,96187.6989217061,"[{'asset': SPY, 'quantity': 18.529561580502886}]",-0.00244199477463114
2016-01-11 16:00:00-05:00,99764.08950057304,96187.6989217061,"[{'asset': SPY, 'quantity': 18.529561580502886}]",0.0
