time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
1998-01-02 09:30:00-05:00,DCA,d1dea82f5f294ec48d7c2defcede1b09,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
1998-01-02 09:30:00-05:00,DCA,d1dea82f5f294ec48d7c2defcede1b09,SPY,buy,market,fill,1,gtc,0.0,1,stock,97.3125,4.316481327135677,0.0
1998-02-02 09:30:00-05:00,DCA,5bc17590ec47477597259ba5d089ddca,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
1998-02-02 09:30:00-05:00,DCA,5bc17590ec47477597259ba5d089ddca,SPY,buy,market,fill,1,gtc,0.0,1,stock,99.90625,4.596626882294112,0.0
1998-03-05 09:30:00-05:00,DCA,5d9e55a842724a06951acb4d69748d11,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
1998-03-05 09:30:00-05:00,DCA,5d9e55a842724a06951acb4d69748d11,SPY,buy,market,fill,1,gtc,0.0,1,stock,103.5,4.750942849859585,0.0
1998-04-06 09:30:00-04:00,DCA,da1a6aedb7f34d4aaeb3235e9e7b2911,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
1998-04-06 09:30:00-04:00,DCA,da1a6aedb7f34d4aaeb3235e9e7b2911,SPY,buy,market,fill,1,gtc,0.0,1,stock,111.75,4.083078575453336,0.0
1998-05-07 09:30:00-04:00,DCA,4fc7a8af524d402ea5e0939f2dd99830,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
1998-05-07 09:30:00-04:00,DCA,4fc7a8af524d402ea5e0939f2dd99830,SPY,buy,market,fill,1,gtc,0.0,1,stock,110.0,4.24082294278147,0.0
1998-06-08 09:30:00-04:00,DCA,1c34ae740c86453cb0d718794493260a,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
1998-06-08 09:30:00-04:00,DCA,1c34ae740c86453cb0d718794493260a,SPY,buy,market,fill,1,gtc,0.0,1,stock,111.71875,4.10092437655013,0.0
1998-07-09 09:30:00-04:00,DCA,7092e786b143481d9ddc23ae7ad17007,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
1998-07-09 09:30:00-04:00,DCA,7092e786b143481d9ddc23ae7ad17007,SPY,buy,market,fill,1,gtc,0.0,1,stock,116.03125,3.677712495929378,0.0
1998-08-10 09:30:00-04:00,DCA,790055be389a476c8f22990a96584d86,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
1998-08-10 09:30:00-04:00,DCA,790055be389a476c8f22990a96584d86,SPY,buy,market,fill,1,gtc,0.0,1,stock,106.78125,4.10799855377757,0.0
1998-09-10 09:30:00-04:00,DCA,45553b657d044587adc110e8d14f2122,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
1998-09-10 09:30:00-04:00,DCA,45553b657d044587adc110e8d14f2122,SPY,buy,market,fill,1,gtc,0.0,1,stock,98.1875,4.587178957055471,0.0
1998-10-12 09:30:00-04:00,DCA,4d06d6b492ae466b82ca6b6eb8a98481,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
1998-10-12 09:30:00-04:00,DCA,4d06d6b492ae466b82ca6b6eb8a98481,SPY,buy,market,fill,1,gtc,0.0,1,stock,99.5625,5.236221563561056,0.0
1998-11-12 09:30:00-05:00,DCA,d7a71906e7c944799ac363445365d748,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
1998-11-12 09:30:00-05:00,DCA,d7a71906e7c944799ac363445365d748,SPY,buy,market,fill,1,gtc,0.0,1,stock,112.3125,4.337423845213328,0.0
1998-12-14 09:30:00-05:00,DCA,6623a77d36114c4bb26e8bafd5a722bf,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
1998-12-14 09:30:00-05:00,DCA,6623a77d36114c4bb26e8bafd5a722bf,SPY,buy,market,fill,1,gtc,0.0,1,stock,116.15625,4.458240514503147,0.0
1999-01-14 09:30:00-05:00,DCA,9dca50c3113e454ab814ad4c478b3894,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
1999-01-14 09:30:00-05:00,DCA,9dca50c3113e454ab814ad4c478b3894,SPY,buy,market,fill,1,gtc,0.0,1,stock,123.625,4.158387197150069,0.0
1999-02-16 09:30:00-05:00,DCA,1f647cb3ec1c4dd695b232477aa86ade,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
1999-02-16 09:30:00-05:00,DCA,1f647cb3ec1c4dd695b232477aa86ade,SPY,buy,market,fill,1,gtc,0.0,1,stock,124.75,3.719938959551523,0.0
1999-03-19 09:30:00-05:00,DCA,168aec85f73e483eb463120fe460a4ac,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
1999-03-19 09:30:00-05:00,DCA,168aec85f73e483eb463120fe460a4ac,SPY,buy,market,fill,1,gtc,0.0,1,stock,132.3125,3.4508671528278043,0.0
1999-04-19 10:30:00-04:00,DCA,14f84ee51bfc4250a55ee7c5ff5bb95c,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
1999-04-19 10:30:00-04:00,DCA,14f84ee51bfc4250a55ee7c5ff5bb95c,SPY,buy,market,fill,1,gtc,0.0,1,stock,129.8125,3.3075610311023973,0.0
1999-05-20 10:30:00-04:00,DCA,08d68f4c39da445e87411df5f06c884e,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
1999-05-20 10:30:00-04:00,DCA,08d68f4c39da445e87411df5f06c884e,SPY,buy,market,fill,1,gtc,0.0,1,stock,134.125,3.20459802818942,0.0
