time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
1998-01-02 09:30:00-05:00,DCA,79013cf993994f0f8f8fbbc5adaf4ed9,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
1998-01-02 09:30:00-05:00,DCA,79013cf993994f0f8f8fbbc5adaf4ed9,SPY,buy,market,fill,1,gtc,0.0,1,stock,97.3125,4.316481327135677,0.0
1998-02-02 09:30:00-05:00,DCA,5b879e98742a4f1bb27aa1dd794dc1e6,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
1998-02-02 09:30:00-05:00,DCA,5b879e98742a4f1bb27aa1dd794dc1e6,SPY,buy,market,fill,1,gtc,0.0,1,stock,99.90625,4.596626882294112,0.0
1998-03-05 09:30:00-05:00,DCA,4416d2c0eddd40b7bdd9aead82ab77bf,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
1998-03-05 09:30:00-05:00,DCA,4416d2c0eddd40b7bdd9aead82ab77bf,SPY,buy,market,fill,1,gtc,0.0,1,stock,103.5,4.750942849859585,0.0
1998-04-06 09:30:00-04:00,DCA,d9b2e34bf49a422f80654acac8270811,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
1998-04-06 09:30:00-04:00,DCA,d9b2e34bf49a422f80654acac8270811,SPY,buy,market,fill,1,gtc,0.0,1,stock,111.75,4.083078575453336,0.0
1998-05-07 09:30:00-04:00,DCA,673dcac4c9cf4c91aa32f7098f2d7e58,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
1998-05-07 09:30:00-04:00,DCA,673dcac4c9cf4c91aa32f7098f2d7e58,SPY,buy,market,fill,1,gtc,0.0,1,stock,110.0,4.24082294278147,0.0
1998-06-08 09:30:00-04:00,DCA,6f42b44d7958434ba8ef7bf928d40e4c,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
1998-06-08 09:30:00-04:00,DCA,6f42b44d7958434ba8ef7bf928d40e4c,SPY,buy,market,fill,1,gtc,0.0,1,stock,111.71875,4.10092437655013,0.0
1998-07-09 09:30:00-04:00,DCA,61910b0177c541e2a04e6e843422d9ba,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
1998-07-09 09:30:00-04:00,DCA,61910b0177c541e2a04e6e843422d9ba,SPY,buy,market,fill,1,gtc,0.0,1,stock,116.03125,3.677712495929378,0.0
1998-08-10 09:30:00-04:00,DCA,4e7cc913917b47b18e9923b936f1c560,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
1998-08-10 09:30:00-04:00,DCA,4e7cc913917b47b18e9923b936f1c560,SPY,buy,market,fill,1,gtc,0.0,1,stock,106.78125,4.10799855377757,0.0
1998-09-10 09:30:00-04:00,DCA,83345035b6b6456192d8a12cb1ecb82a,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
1998-09-10 09:30:00-04:00,DCA,83345035b6b6456192d8a12cb1ecb82a,SPY,buy,market,fill,1,gtc,0.0,1,stock,98.1875,4.587178957055471,0.0
1998-10-12 09:30:00-04:00,DCA,75bd8b48afd14dfe827ac26158f0415b,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
1998-10-12 09:30:00-04:00,DCA,75bd8b48afd14dfe827ac26158f0415b,SPY,buy,market,fill,1,gtc,0.0,1,stock,99.5625,5.236221563561056,0.0
1998-11-12 09:30:00-05:00,DCA,e8e6d2e1cc264754b66ffc4145e32e32,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
1998-11-12 09:30:00-05:00,DCA,e8e6d2e1cc264754b66ffc4145e32e32,SPY,buy,market,fill,1,gtc,0.0,1,stock,112.3125,4.337423845213328,0.0
1998-12-14 09:30:00-05:00,DCA,c8308f267cb342e88740550e44f59f24,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
1998-12-14 09:30:00-05:00,DCA,c8308f267cb342e88740550e44f59f24,SPY,buy,market,fill,1,gtc,0.0,1,stock,116.15625,4.458240514503147,0.0
1999-01-14 09:30:00-05:00,DCA,45780a828c2d49438974aaf838054a17,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
1999-01-14 09:30:00-05:00,DCA,45780a828c2d49438974aaf838054a17,SPY,buy,market,fill,1,gtc,0.0,1,stock,123.625,4.158387197150069,0.0
1999-02-16 09:30:00-05:00,DCA,21c974f794f342b3aa9b07389f146337,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
1999-02-16 09:30:00-05:00,DCA,21c974f794f342b3aa9b07389f146337,SPY,buy,market,fill,1,gtc,0.0,1,stock,124.75,3.719938959551523,0.0
